SNR,Power,OSR,Adc1_gm,GBW1,IIP3_Int1,Adc2_gm,GBW2,IIP3_Int2,IIP_FF
72.343,0.0010942,64,67.667,46101000.0,43.296,54.347,38063000.0,35.497,44.444
72.141,0.0010942,64,67.667,46101000.0,48.447,54.347,38063000.0,68.127,55.556
72.412,0.0010942,64,67.667,46101000.0,55.34,54.347,38063000.0,51.185,66.667
71.973,0.0010942,64,67.667,46101000.0,90.067,54.347,38063000.0,94.457,77.778
73.208,0.0010942,64,67.667,46101000.0,103.29,54.347,38063000.0,79.654,88.889
73.894,0.0010942,64,67.667,46101000.0,88.543,54.347,38063000.0,112.26,100.0
73.504,0.0010942,64,67.667,44246000.0,0.0,54.347,55520000.0,0.0,0.0
73.257,0.0010942,64,67.667,44246000.0,9.1732,54.347,55520000.0,11.588,11.111
73.896,0.0010942,64,67.667,44246000.0,19.873,54.347,55520000.0,26.594,22.222
74.748,0.0010942,64,67.667,44246000.0,25.057,54.347,55520000.0,40.953,33.333
73.199,0.0010942,64,67.667,44246000.0,43.296,54.347,55520000.0,35.497,44.444
74.479,0.0010942,64,67.667,44246000.0,48.447,54.347,55520000.0,68.127,55.556
74.734,0.0010942,64,67.667,44246000.0,55.34,54.347,55520000.0,51.185,66.667
74.275,0.0010942,64,67.667,44246000.0,90.067,54.347,55520000.0,94.457,77.778
73.235,0.0010942,64,67.667,44246000.0,103.29,54.347,55520000.0,79.654,88.889
75.534,0.0010942,64,67.667,44246000.0,88.543,54.347,55520000.0,112.26,100.0
75.299,0.0010942,64,67.667,74892000.0,0.0,54.347,74736000.0,0.0,0.0
74.014,0.0010942,64,67.667,74892000.0,9.1732,54.347,74736000.0,11.588,11.111
73.235,0.0010942,64,67.667,74892000.0,19.873,54.347,74736000.0,26.594,22.222
74.502,0.0010942,64,67.667,74892000.0,25.057,54.347,74736000.0,40.953,33.333
72.261,0.0010942,64,67.667,74892000.0,43.296,54.347,74736000.0,35.497,44.444
74.56,0.0010942,64,67.667,74892000.0,48.447,54.347,74736000.0,68.127,55.556
74.679,0.0010942,64,67.667,74892000.0,55.34,54.347,74736000.0,51.185,66.667
74.194,0.0010942,64,67.667,74892000.0,90.067,54.347,74736000.0,94.457,77.778
73.119,0.0010942,64,67.667,74892000.0,103.29,54.347,74736000.0,79.654,88.889
73.819,0.0010942,64,67.667,74892000.0,88.543,54.347,74736000.0,112.26,100.0
73.837,0.0010942,64,67.667,124430000.0,0.0,54.347,83815000.0,0.0,0.0
74.654,0.0010942,64,67.667,124430000.0,9.1732,54.347,83815000.0,11.588,11.111
73.827,0.0010942,64,67.667,124430000.0,19.873,54.347,83815000.0,26.594,22.222
